code^name^art^count^countSite^price^namePrint^describe^picture^picture2^picture3^color^materialUp^materialMid^category^sole^size
2024^сумка жіноча^W70-13-P D NER^1^^3275.00^сумка жіноча^^^^^Чорний^Шкіра^текстиль^^-^1
1609^шльопанці жіночі^W1PLACE112 TAU^1^^3380.00^шльопанці жіночі^^^^^бежевий^Шкіра^Шкіра^^синтетична^37
1609^шльопанці жіночі^W1PLACE112 TAU^2^^3380.00^шльопанці жіночі^^^^^бежевий^Шкіра^Шкіра^^синтетична^38
1609^шльопанці жіночі^W1PLACE112 TAU^2^^3380.00^шльопанці жіночі^^^^^бежевий^Шкіра^Шкіра^^синтетична^39
1609^шльопанці жіночі^W1PLACE112 TAU^1^^3380.00^шльопанці жіночі^^^^^бежевий^Шкіра^Шкіра^^синтетична^40
1498^туфлі жіночі^W1852 CAM CIPR^1^^3150.00^туфлі жіночі^^^^^рожевий^замша^Шкіра^^синтетична^38
1498^туфлі жіночі^W1852 CAM CIPR^1^^3150.00^туфлі жіночі^^^^^рожевий^замша^Шкіра^^синтетична^39
2067^босоніжки жіночі^W2096 PEL BIAN^1^^2880.00^босоніжки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^36
2067^босоніжки жіночі^W2096 PEL BIAN^2^^2880.00^босоніжки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^37
2092^балетки жіночі^W883-343 P BIA^1^^2600.00^балетки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^36
2067^босоніжки жіночі^W2096 PEL BIAN^2^^2880.00^босоніжки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^38
2092^балетки жіночі^W883-343 P BIA^2^^2600.00^балетки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^37
2025^сумка жіноча^W4-309-P D NER^1^^3090.00^сумка жіноча^^^^^Чорний^Шкіра^текстиль^^-^1
2067^босоніжки жіночі^W2096 PEL BIAN^1^^2880.00^босоніжки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^39
2092^балетки жіночі^W883-343 P BIA^1^^2600.00^балетки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^38
1768^туфлі жіночі^W0041511718K B^1^^2700.00^туфлі жіночі^^^^^Чорний^Шкіра^Шкіра^^синтетична^40
2092^балетки жіночі^W883-343 P BIA^1^^2600.00^балетки жіночі^^^^^білий^Шкіра^Шкіра^^синтетична^39
1434^черевики жіночі^WNAVAJO-C-18 A^1^^3920.00^черевики жіночі^^^^^срібний^Шкіра^Шкіра^^синтетична^36
2144^босоніжки жіночі^W2121 SABB-PLA^1^^1820.00^босоніжки жіночі^^^^^золотий^Шкіра^Шкіра^^синтетична^36
1434^черевики жіночі^WNAVAJO-C-18 A^1^^3920.00^черевики жіночі^^^^^срібний^Шкіра^Шкіра^^синтетична^37
2144^босоніжки жіночі^W2121 SABB-PLA^2^^1820.00^босоніжки жіночі^^^^^золотий^Шкіра^Шкіра^^синтетична^37
1434^черевики жіночі^WNAVAJO-C-18 A^2^^3920.00^черевики жіночі^^^^^срібний^Шкіра^Шкіра^^синтетична^38
2144^босоніжки жіночі^W2121 SABB-PLA^2^^1820.00^босоніжки жіночі^^^^^золотий^Шкіра^Шкіра^^синтетична^38
2144^босоніжки жіночі^W2121 SABB-PLA^1^^1820.00^босоніжки жіночі^^^^^золотий^Шкіра^Шкіра^^синтетична^39
2026^босоніжки жіночі^W208-91 BLACK^1^^2280.00^босоніжки жіночі^^^^^Чорний^Шкіра^Шкіра^^синтетична^36
2026^босоніжки жіночі^W208-91 BLACK^2^^2280.00^босоніжки жіночі^^^^^Чорний^Шкіра^Шкіра^^синтетична^37
2026^босоніжки жіночі^W208-91 BLACK^2^^2280.00^босоніжки жіночі^^^^^Чорний^Шкіра^Шкіра^^синтетична^38
1882^чоботи жіночі^W1357 CRO NERO^1^^4120.00^чоботи жіночі^^^^^Чорний^замша^текстиль^^синтетичний^36
2026^босоніжки жіночі^W208-91 BLACK^1^^2280.00^босоніжки жіночі^^^^^Чорний^Шкіра^Шкіра^^синтетична^39
1882^чоботи жіночі^W1357 CRO NERO^2^^4120.00^чоботи жіночі^^^^^Чорний^замша^текстиль^^синтетичний^38
1882^чоботи жіночі^W1357 CRO NERO^1^^4120.00^чоботи жіночі^^^^^Чорний^замша^текстиль^^синтетичний^39
1610^шльопанці жіночі^W1PLACE112 NER^1^^3380.00^шльопанці жіночі^^^^^Сірий^Шкіра^Шкіра^^синтетична^36
1610^шльопанці жіночі^W1PLACE112 NER^2^^3380.00^шльопанці жіночі^^^^^Сірий^Шкіра^Шкіра^^синтетична^37
1610^шльопанці жіночі^W1PLACE112 NER^2^^3380.00^шльопанці жіночі^^^^^Сірий^Шкіра^Шкіра^^синтетична^38
